기준년월,순위번호,도서명정보,저자명정보,출판사명,출판년도,권수(권),도서이미지URL
2023-05,39,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,https://image.aladin.co.kr/product/25055/39/cover/k002632646_1.jpg
2023-05,40,생에 감사해,지은이: 김혜자,수오서재,2022,,https://image.aladin.co.kr/product/30657/87/cover/k572830939_1.jpg
2023-05,41,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,https://image.aladin.co.kr/product/27025/25/cover/k542730528_2.jpg
2023-05,42,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,1,https://image.aladin.co.kr/product/27081/54/cover/s542731834_1.jpg
2023-05,43,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,https://image.aladin.co.kr/product/28736/69/cover/k332836780_1.jpg
2023-05,44,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,https://image.aladin.co.kr/product/28612/9/cover/8936448137_1.jpg
2023-05,45,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,2,https://image.aladin.co.kr/product/27876/47/cover/8934980257_1.jpg
2023-05,46,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,https://bookthumb-phinf.pstatic.net/cover/134/282/13428213.jpg?type=m1&udate=20180331
2023-05,47,메리골드 마음 세탁소,윤정은 (지은이),북로망스,2023,,https://image.aladin.co.kr/product/31222/5/cover/k562831250_2.jpg
2023-05,48,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,6,https://image.aladin.co.kr/product/29541/3/cover/k292837956_1.jpg
2023-05,49,수박 수영장 :안녕달 그림책,지은이: 안녕달,창비,2015,,https://bookthumb-phinf.pstatic.net/cover/093/451/09345174.jpg?type=m1&udate=20180718
2023-05,50,지구 끝의 온실 :김초엽 장편소설,지은이: 김초엽,Giant Books(자이언트북스),2021,,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg
2023-05,51,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,7,https://image.aladin.co.kr/product/30224/42/cover/k502839203_1.jpg
2023-05,52,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,15,https://image.aladin.co.kr/product/29734/44/cover/k662838597_1.jpg
2023-05,53,이상한 과자 가게 전천당 16,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)",길벗스쿨,2022,16,https://image.aladin.co.kr/product/30493/31/cover/k182830482_1.jpg
